"V1" "V2" "Classe"
"1" 0.389937012574674 -4.34341751551781 "2"
"2" -5.602701155802 2.10572397538556 "1"
"3" -6.59418588903925 -9.60900045637204 "1"
"4" -7.7982492031312 1.90144219621479 "1"
"5" 10.6274402359895 -1.31263755642789 "2"
"6" -1.30264727028869 1.43426597220149 "1"
"7" -5.04564770604506 2.16185182417287 "1"
"8" 7.80848136122257 -2.51335566440416 "2"
"9" 3.72352500668053 2.39028116979633 "2"
"10" 2.11317053935303 4.37936749912308 "2"
"11" -1.05058645220867 -1.45397242402649 "1"
"12" -5.8533819829773 9.21813626710073 "1"
"13" 4.92819920456622 -3.67134696382998 "2"
"14" 2.03394042581611 3.75091892304727 "2"
"15" 8.47747397809182 4.77256030475859 "2"
"16" -0.323176457210553 3.61834426228516 "1"
"17" -7.86982883746009 3.01475025638734 "1"
"18" 10.4086275764864 1.46457040960123 "2"
"19" -8.25003075914886 -1.74001272539368 "1"
"20" 7.13354073477696 6.89191602209431 "2"
